start:12.919| end:17.904| speaker:SPEAKER_00| text: Next up is a tool to help you become king or queen of your own castle.
start:987.135| end:989.877| speaker:SPEAKER_02| text:You buy the whole jicama, you peel it, you use it.
start:990.478| end:991.859| speaker:SPEAKER_01| text:So for that reason, I'm out.
start:993.579| end:994.46| speaker:SPEAKER_02| text: I like Hikama.
start:994.52| end:995.66| speaker:SPEAKER_02| text:I like what you're doing.
start:995.68| end:1000.443| speaker:SPEAKER_02| text:I believe that you are completely in the right space at the right time doing the right thing.
start:1000.463| end:1002.444| speaker:SPEAKER_02| text:I think it's a great business for you.
start:1002.504| end:1004.025| speaker:SPEAKER_02| text:I don't think it's the right business for me.
start:1004.345| end:1005.466| speaker:SPEAKER_02| text:I wish you good luck, but I'm not.
start:1006.206| end:1006.507| speaker:SPEAKER_01| text:Okay.
start:1006.547| end:1007.167| speaker:SPEAKER_01| text:Thank you, Lori.
start:1007.647| end:1009.488| speaker:SPEAKER_01| text:You're killing Hikama Man over here.
start:1011.77| end:1013.4110000000001| speaker:SPEAKER_02| text:You know, you have an offer from Barbara.
start:1013.671| end:1014.391| speaker:SPEAKER_02| text:What do you think of it?
start:1014.751| end:1020.074| speaker:SPEAKER_03| text:So, in terms of the percentage, are you willing to do the $300,000 for...
start:1024.317| end:1026.479| speaker:SPEAKER_00| text: 5%.
start:1024.878| end:1026.479| speaker:SPEAKER_00| text:5%?
start:1025.818| end:1026.479| speaker:SPEAKER_00| text:No, I wouldn't.
start:1026.619| end:1028.12| speaker:SPEAKER_00| text:I would have to stay with the 10%.
start:1028.56| end:1031.682| speaker:SPEAKER_04| text:I'll do it for 9% just to make it interesting for Barbara.
start:1031.702| end:1031.902| speaker:SPEAKER_04| text:Okay.
start:1031.962| end:1033.243| speaker:SPEAKER_04| text:And then you get Chef Wonderful.
start:1033.603| end:1035.484| speaker:SPEAKER_04| text:Just squeezing her ikima a little bit.
start:1036.144| end:1036.465| speaker:SPEAKER_02| text:Okay.
start:1036.685| end:1038.406| speaker:SPEAKER_02| text:And pro rata deal for Kevin as well.
start:1038.546| end:1039.206| speaker:SPEAKER_02| text:Oh, absolutely.
start:1039.246| end:1040.747| speaker:SPEAKER_02| text:Otherwise, you never get your capital back.
start:1041.528| end:1042.488| speaker:SPEAKER_03| text:Are you guys willing to do 7%?
start:1044.585| end:1045.426| speaker:SPEAKER_02| text: Definitely not, no.
start:1045.466| end:1046.267| speaker:SPEAKER_04| text:Not for me, no.
start:1046.767| end:1047.808| speaker:SPEAKER_04| text:I pointed out what you've done.
start:1047.868| end:1050.031| speaker:SPEAKER_04| text:You value your business in an extraordinary multiple.
start:1050.051| end:1050.851| speaker:SPEAKER_04| text:I'm a multiple guy.
start:1050.892| end:1052.153| speaker:SPEAKER_04| text:I'm a financial services guy.
start:1052.173| end:1053.915| speaker:SPEAKER_04| text:I do a lot of private equity deals.
start:1054.295| end:1056.017| speaker:SPEAKER_04| text:You would not get that deal in the world today.
start:1056.454| end:1059.776| speaker:SPEAKER_00| text: Other than the money, what is it you're looking for in a shark partner?
start:1060.137| end:1064.62| speaker:SPEAKER_03| text:As we mentioned before, we have the manufacturing set up, but we need help in sales and marketing.
start:1064.82| end:1068.022| speaker:SPEAKER_04| text:Look, I can open up the doors at Grocery because I have so many other products in there.
start:1068.283| end:1069.403| speaker:SPEAKER_00| text:He's honestly over promising.
start:1069.423| end:1070.484| speaker:SPEAKER_00| text:But she's talking her book.
start:1070.664| end:1071.565| speaker:SPEAKER_00| text:I know what I do well.
start:1071.625| end:1072.726| speaker:SPEAKER_00| text:I do sales and marketing.
start:1072.766| end:1074.7069999999999| speaker:SPEAKER_00| text:That's how I became rich in the first place.
start:1075.568| end:1076.929| speaker:SPEAKER_00| text:I know it better than anyone else.
start:1077.609| end:1079.871| speaker:SPEAKER_00| text:I can certainly deliver the same social marketing
start:1080.849| end:1083.03| speaker:SPEAKER_02| text: who thinks he's much more wonderful than he actually is.
start:1083.53| end:1083.71| speaker:SPEAKER_02| text:Okay?
start:1083.971| end:1084.351| speaker:SPEAKER_02| text:Got it?
start:1084.971| end:1085.111| speaker:SPEAKER_02| text:Oh!
start:1085.171| end:1086.331| speaker:SPEAKER_02| text:Because he's an overstater.
start:1086.351| end:1087.672| speaker:SPEAKER_02| text:You want the truth?
start:1087.692| end:1090.013| speaker:SPEAKER_00| text:The only reason she's here is I bought her a new broom this year.
start:1091.133| end:1093.174| speaker:SPEAKER_02| text:And I'm gonna tell him where to shove that broom any minute.
start:1093.354| end:1095.675| speaker:SPEAKER_00| text:You guys have to make a decision.
start:1095.695| end:1096.475| speaker:SPEAKER_00| text:You got two offers.
start:1096.776| end:1099.217| speaker:SPEAKER_02| text:Barbara, would you consider $300,000 for 6% and then 2% in advisory shares?
start:1099.237| end:1101.037| speaker:SPEAKER_02| text:Well, how about 1% more in advisory shares?
start:1101.057| end:1102.278| speaker:SPEAKER_02| text:3% in advisory shares.
start:1102.878| end:1103.138| speaker:SPEAKER_02| text:Total of 9%.
start:1108.24| end:1109.14| speaker:SPEAKER_02| text: Yes, I would, actually.
start:1109.38| end:1110.22| speaker:SPEAKER_02| text:Just to beat him out.
start:1116.042| end:1116.902| speaker:SPEAKER_01| text:What would you guys like to do?
start:1117.462| end:1120.583| speaker:SPEAKER_01| text:So, Barbara, you've got a deal.
start:1120.783| end:1121.323| speaker:SPEAKER_04| text:Thank you very much.
start:1121.343| end:1122.103| speaker:SPEAKER_04| text:Congrats, guys.
start:1122.703| end:1123.283| speaker:SPEAKER_04| text:That's smart.
start:1123.323| end:1124.084| speaker:SPEAKER_04| text:Really smart move.
start:1124.424| end:1125.104| speaker:SPEAKER_04| text:Congrats, Barbara.
start:1125.264| end:1126.344| speaker:SPEAKER_04| text:Thank you very much.
start:1126.564| end:1127.904| speaker:SPEAKER_04| text:You're terrific together, by the way.
start:1127.944| end:1128.905| speaker:SPEAKER_04| text:Thank you.
start:1128.925| end:1129.805| speaker:SPEAKER_04| text:Get rid of this bozo.
start:1137.408| end:1139.189| speaker:SPEAKER_01| text: I can't believe this is insane.
start:1139.53| end:1145.733| speaker:SPEAKER_01| text:I mean, we've been watching Shark Tank forever now, so... Dream of my lifetime.
start:1148.955| end:1152.718| speaker:SPEAKER_01| text:First into the tank is an adorable way to learn a new skill.
start:1160.666| end:1161.147| speaker:SPEAKER_03| text: Hey, Sharks.
start:1161.427| end:1162.209| speaker:SPEAKER_03| text:We're Justine.
start:1162.369| end:1163.03| speaker:SPEAKER_03| text:And Adrian.
start:1163.07| end:1165.775| speaker:SPEAKER_03| text:The wife and husband team behind the Wubbles.
start:1166.256| end:1168.38| speaker:SPEAKER_04| text:Today, we're seeking a $250,000 investment in exchange for 5% equity in our company.
start:1168.42| end:1168.5| speaker:SPEAKER_04| text:Wow.
start:1172.574| end:1175.256| speaker:SPEAKER_03| text: Sharks, we're here to get you hooked.
start:1175.856| end:1176.597| speaker:SPEAKER_03| text:On crochet!
start:1177.357| end:1178.798| speaker:SPEAKER_03| text:Our company is the Woovles.
start:1179.058| end:1181.74| speaker:SPEAKER_03| text:We make fun, simple kits that teach you how to crochet.
start:1182.12| end:1189.685| speaker:SPEAKER_03| text:But instead of a boring potholder, you'll learn how to make adorable characters like... Pierre the penguin and Felix the fox.
start:1190.005| end:1192.426| speaker:SPEAKER_03| text:Fred the dino and Sebastian the lion.
start:1192.727| end:1196.709| speaker:SPEAKER_03| text:Each kit comes with step-by-step videos that teach complete beginners how to crochet.
start:1197.109| end:1197.83| speaker:SPEAKER_03| text:Our secret?
start:1198.17| end:1199.771| speaker:SPEAKER_03| text:We're not just a crochet company.
start:1200.169| end:1202.55| speaker:SPEAKER_00| text: We see ourselves as an education company, too.
start:1202.911| end:1206.192| speaker:SPEAKER_01| text:We've seen that something magical happens when people learn a new skill.
start:1206.493| end:1207.553| speaker:SPEAKER_01| text:It's about confidence.
start:1207.853| end:1211.996| speaker:SPEAKER_00| text:So, Sharks, who's ready to Wubble with us?
start:1212.036| end:1212.696| speaker:SPEAKER_01| text:Super cute.
start:1213.096| end:1213.717| speaker:SPEAKER_00| text:Thank you.
start:1213.757| end:1214.417| speaker:SPEAKER_01| text:Super cute.
start:1214.657| end:1219.3| speaker:SPEAKER_00| text:What you have in front of you is both a kit and an example of the Wubble that you would make with this kit.
start:1219.78| end:1223.224| speaker:SPEAKER_00| text: And if you open up the pouch, then you'll see our easy peasy yarn.
start:1223.664| end:1233.834| speaker:SPEAKER_00| text:And then most importantly, there's a card inside of the pouch that has a link and a QR code that brings you to our website tutorial our customers will follow to learn how to make that Wubble.
start:1234.134| end:1237.958| speaker:SPEAKER_00| text:What is the age start for this?
start:1238.078| end:1244.324| speaker:SPEAKER_00| text:So most people will look at our product and think that it's for kids, but most of our customers are actually adults buying it for themselves.
start:1244.844| end:1246.766| speaker:SPEAKER_01| text: And what do you sell these for and what do they cost you to make?
start:1247.026| end:1248.127| speaker:SPEAKER_01| text:Landed, they're $3.
start:1248.407| end:1250.469| speaker:SPEAKER_01| text:We wholesale for $15 and we retail for $30.
start:1250.549| end:1250.849| speaker:SPEAKER_01| text:Wow.
start:1250.869| end:1252.25| speaker:SPEAKER_01| text:How do you sell them?
start:1252.43| end:1255.773| speaker:SPEAKER_01| text:Over 90% of our sales are direct-to-consumer, straight from our website.
start:1256.454| end:1258.335| speaker:SPEAKER_00| text: So what made you crochet in the first place?
start:1258.455| end:1262.518| speaker:SPEAKER_00| text:Before I started the WooBalls, I used to lead user experience for Google Classroom.
start:1262.899| end:1267.342| speaker:SPEAKER_00| text:And I spent the bulk of my career as a UX designer working on education products.
start:1267.722| end:1268.703| speaker:SPEAKER_00| text:And I loved my job.
start:1268.823| end:1269.643| speaker:SPEAKER_00| text:I was great at it.
start:1269.944| end:1271.745| speaker:SPEAKER_00| text:I was so great that they made me a manager.
start:1271.845| end:1274.267| speaker:SPEAKER_00| text:And it turns out I sucked at being a manager.
start:1275.467| end:1281.25| speaker:SPEAKER_00| text: And so to take my mind off of work, I started dabbling in all these other hobbies, and crochet was one of those things.
start:1281.711| end:1288.294| speaker:SPEAKER_00| text:And learning to crochet reminded me that I still have it in me to learn something new, that I could try to become a better manager.
start:1288.314| end:1293.857| speaker:SPEAKER_00| text:And so that experience of really building back my confidence through crochet is why we started this.
start:1293.937| end:1295.938| speaker:SPEAKER_00| text:I want to share that experience with other people.
start:1296.438| end:1298.159| speaker:SPEAKER_00| text:Are you still at Google?
start:1298.179| end:1298.72| speaker:SPEAKER_00| text:Oh, no, no, no.
start:1298.78| end:1299.6| speaker:SPEAKER_00| text:This is 100% full-time.
start:1299.62| end:1301.041| speaker:SPEAKER_01| text:Is it full-time for both of you?
start:1301.181| end:1301.501| speaker:SPEAKER_01| text:Yes.
start:1301.761| end:1303.242| speaker:SPEAKER_00| text:And what's your background?
start:1303.762| end:1310.326| speaker:SPEAKER_01| text: From a really young age, I've been taught that success means getting good grades, going to a good school, and getting a really high-paying job.
start:1311.006| end:1312.227| speaker:SPEAKER_01| text:And that's exactly what I did.
start:1312.287| end:1314.548| speaker:SPEAKER_01| text:So I became one of the youngest directors on Wall Street.
start:1314.708| end:1319.911| speaker:SPEAKER_01| text:I traded billions of dollars in equities, but I wasn't any happier at the end of it than when I started.
start:1320.401| end:1326.405| speaker:SPEAKER_00| text: And what I began to realize was that I had spent all that time working towards someone else's definition of success.
start:1327.065| end:1331.648| speaker:SPEAKER_00| text:And so I left it all behind to go and try and figure out what my own definition of success is.
start:1332.349| end:1335.491| speaker:SPEAKER_00| text:I knew from a really young age that I really liked helping people.
start:1335.571| end:1340.934| speaker:SPEAKER_00| text:And then when we started thinking about crochet kits, what's really neat about it is that it is that confidence boost.
start:1341.335| end:1344.196| speaker:SPEAKER_00| text:Sometimes as we get older, you kind of stop learning new things.
start:1344.236| end:1346.678| speaker:SPEAKER_00| text:You start saying things like, you know, I'm too old to learn that.
start:1346.858| end:1353.668| speaker:SPEAKER_00| text: And so what brings me joy with these kits is that they're a little confidence boost to remind you that you can always learn something new.
start:1353.868| end:1356.872| speaker:SPEAKER_00| text:So exactly two years ago, we started this business.
start:1357.353| end:1360.718| speaker:SPEAKER_00| text:We took $200, we bought some yarn, and we bought a domain name.
start:1361.018| end:1362.46| speaker:SPEAKER_00| text:And since then, we've done $5.3 million.
start:1364.372| end:1366.073| speaker:SPEAKER_00| text: Wow, good for you.
start:1366.713| end:1367.113| speaker:SPEAKER_01| text:What?
start:1367.173| end:1367.973| speaker:SPEAKER_01| text:That's incredible.
start:1368.173| end:1376.136| speaker:SPEAKER_00| text:Yeah, so here to date, we've done $3.1 million, and if we assume that we've just stopped growing from this point on out, we'll do $7 million this year.
start:1376.276| end:1380.538| speaker:SPEAKER_01| text:Okay, you're direct-to-consumer, which means you're doing a lot of online advertising.
start:1380.938| end:1386.58| speaker:SPEAKER_01| text:So tell us what your costs to acquire these revenues are, what your gross margins are, and what your net margins are.
start:1387.04| end:1390.403| speaker:SPEAKER_00| text: Yeah, so we spend about 20% of our revenue on advertising.
start:1390.523| end:1391.224| speaker:SPEAKER_00| text:Okay, that's not bad.
start:1391.424| end:1393.106| speaker:SPEAKER_00| text:It costs us a blended CAC of $16.
start:1393.366| end:1395.848| speaker:SPEAKER_00| text:The average order value is around $57.
start:1395.948| end:1396.148| speaker:SPEAKER_00| text:Okay.
start:1396.309| end:1396.429| speaker:SPEAKER_00| text:Wow.
start:1396.469| end:1399.992| speaker:SPEAKER_00| text:Do they order one kit or more than one kit?
start:1400.012| end:1401.413| speaker:SPEAKER_00| text:So that's about two kits.
start:1401.654| end:1402.975| speaker:SPEAKER_00| text:Then you're making a lot of money.
start:1403.355| end:1406.998| speaker:SPEAKER_00| text:So 86% gross margin, 32% net margin lifetime, and 38% year-to-date.
start:1407.179| end:1407.739| speaker:SPEAKER_00| text:Great margins.
start:1411.062| end:1439.991| speaker:SPEAKER_00| text: so why do you need 250 i mean you're killing it we're here for three reasons we're here for licensing wholesale and mentorship uh when it comes to licensing when a customer finishes the kit the first thing they think is i need to get another kit and they start asking us where's baby yoda do you have any disney characters where are the marvel characters at guys how did you arrive at your evaluation that you presented we know our evaluation is very low um it's low because it's very low because we are here to make a deal um we can learn
start:1440.529| end:1442.511| speaker:SPEAKER_02| text: so much from this group of people in this room.
start:1442.991| end:1446.253| speaker:SPEAKER_02| text:And the way we see it, we have two huge opportunities ahead of us.
start:1446.273| end:1451.877| speaker:SPEAKER_02| text:We haven't even begun to talk about wholesale, but licensing and wholesale we think can drive this brand to the next level.
start:1451.957| end:1453.198| speaker:SPEAKER_02| text:You want to go to retail?
start:1453.618| end:1454.679| speaker:SPEAKER_02| text:We want to go to retail.
start:1454.699| end:1455.42| speaker:SPEAKER_02| text:Why, when you're killing it?
start:1455.44| end:1456.841| speaker:SPEAKER_02| text:Because they have enough margin, yeah.
start:1457.541| end:1458.962| speaker:SPEAKER_02| text: We've done a test order.
start:1459.123| end:1462.346| speaker:SPEAKER_03| text:So now we get a little more about what the mission really is.
start:1462.966| end:1468.471| speaker:SPEAKER_03| text:Is the basis or the mechanism for that learning in your vision always going to be crochet?
start:1468.992| end:1474.897| speaker:SPEAKER_03| text:Meaning, is the next product that you have coming a non-crochet or some other form?
start:1474.997| end:1477.839| speaker:SPEAKER_00| text: Yes, the key to our business is the learn-to part.
start:1478.159| end:1482.962| speaker:SPEAKER_00| text:What we apply it to can change, but right now we are 100% focused on crochet.
start:1483.022| end:1485.564| speaker:SPEAKER_03| text:So for the foreseeable future, it's crochet kits.
start:1485.664| end:1486.285| speaker:SPEAKER_00| text:Exactly, yep.
start:1486.445| end:1487.526| speaker:SPEAKER_04| text:I like this deal, okay?
start:1487.566| end:1491.048| speaker:SPEAKER_04| text:Because it has something I love called cash flow.
start:1491.068| end:1492.669| speaker:SPEAKER_04| text:What does it have?
start:1493.069| end:1493.43| speaker:SPEAKER_04| text:And so...
start:1494.27| end:1495.23| speaker:SPEAKER_04| text: I see it this way.
start:1495.47| end:1500.672| speaker:SPEAKER_04| text:I think I can reduce your costs of acquiring customers by around eight to 10%.
start:1501.733| end:1504.394| speaker:SPEAKER_04| text:Number two, I can definitely help you with licensing.
start:1504.434| end:1506.835| speaker:SPEAKER_04| text:Been there, done that with lots and lots of brands.
start:1507.355| end:1513.577| speaker:SPEAKER_04| text:I also think I can help you with some other interesting ideas in the fashion world with this stuff, okay?
start:1513.797| end:1514.798| speaker:SPEAKER_04| text: The fashion world?
start:1514.958| end:1516.199| speaker:SPEAKER_01| text:This I can't wait to hear.
start:1516.359| end:1517.5| speaker:SPEAKER_01| text:This is far stretch.
start:1517.84| end:1520.903| speaker:SPEAKER_04| text:You want to hear the offer or not?
start:1521.343| end:1523.285| speaker:SPEAKER_04| text:I'll give you the $250,000 for 10% equity.
start:1523.365| end:1529.51| speaker:SPEAKER_04| text:Coming from you, Mr. Wonderful, I expected to hear the words royalty.
start:1529.75| end:1530.271| speaker:SPEAKER_02| text:You know why?
start:1530.311| end:1530.911| speaker:SPEAKER_02| text:You know why?
start:1531.012| end:1533.0529999999999| speaker:SPEAKER_02| text:You have cash flow.
start:1533.514| end:1536.937| speaker:SPEAKER_02| text:Would it be okay if we just heard that, if any of the other sharks are interested as well?
start:1536.9569999999999| end:1537.977| speaker:SPEAKER_04| text:I would definitely.
start:1539.138| end:1539.959| speaker:SPEAKER_04| text:I'll give you $300,000 for the same 10%.
start:1544.09| end:1544.43| speaker:SPEAKER_02| text: Thank you.
start:1545.011| end:1546.013| speaker:SPEAKER_01| text:I love this.
start:1546.253| end:1547.354| speaker:SPEAKER_01| text:I'm going to make you an offer.
start:1548.215| end:1550.378| speaker:SPEAKER_01| text:I'm going to go $300,000 for 10%.
start:1552.481| end:1553.963| speaker:SPEAKER_01| text:I understand all of this.
start:1554.203| end:1559.39| speaker:SPEAKER_01| text:I mean, I've been in this market so much, and I know how to get all
start:1560.009| end:1569.737| speaker:SPEAKER_03| text: the things you talked about, from the licensing to the retail stores, I think you should be everywhere and fast because you are something that could really take off.
start:1570.217| end:1570.737| speaker:SPEAKER_03| text:Exactly.
start:1571.058| end:1571.798| speaker:SPEAKER_02| text:That's our mission.
start:1571.858| end:1574.3| speaker:SPEAKER_02| text:We want to spread the joy and confidence of learning something new.
start:1574.32| end:1575.081| speaker:SPEAKER_03| text:I'm going to give you $350,000 for 10%.
start:1575.121| end:1575.161| speaker:SPEAKER_03| text:Oh!
start:1575.181| end:1575.341| speaker:SPEAKER_03| text:$300,000 for 8%.
start:1575.381| end:1575.421| speaker:SPEAKER_03| text:OK.
start:1575.521| end:1575.761| speaker:SPEAKER_03| text:It's 8%.
start:1575.821| end:1580.505| speaker:SPEAKER_03| text:This mentoring is going to be worth it.
start:1587.455| end:1589.195| speaker:SPEAKER_01| text: Guys, you understand all the offers, right?
start:1589.355| end:1590.256| speaker:SPEAKER_01| text:You got to make a decision.
start:1591.336| end:1592.096| speaker:SPEAKER_03| text:Hold it a second.
start:1592.176| end:1602.799| speaker:SPEAKER_03| text:Just hold it a second.
start:1606.12| end:1615.422| speaker:SPEAKER_00| text:All sharks are still in, and there's a bidding war between Barbara, Kevin, and Lori for Adrian and Justine's highly profitable crochet kit business, The Wubbles.
start:1615.899| end:1617.92| speaker:SPEAKER_03| text: I'm gonna give you the 350 for 5%.
start:1619.941| end:1621.621| speaker:SPEAKER_03| text:That's how much I believe in your business.
start:1622.221| end:1627.624| speaker:SPEAKER_03| text:You are sitting on a rocket, but you have to let me know right away, because I'm being a fool here, bidding against myself.
start:1627.804| end:1629.664| speaker:SPEAKER_02| text:Would you consider adding another shark to your offer?
start:1630.025| end:1630.865| speaker:SPEAKER_03| text:I'll do it with Mark.
start:1631.005| end:1631.565| speaker:SPEAKER_03| text:Come on, Mark.
start:1631.585| end:1632.806| speaker:SPEAKER_03| text:Come here with me.
start:1632.826| end:1633.686| speaker:SPEAKER_03| text:I was 300 for eight.
start:1633.966| end:1636.247| speaker:SPEAKER_02| text:You don't need... I can do this all alone.
start:1636.607| end:1639.948| speaker:SPEAKER_02| text:We've read your book, and we know... We've seen what you've been able to do.
start:1640.669| end:1643.67| speaker:SPEAKER_02| text:I think that if you would team up with another shark,
start:1645.461| end:1646.3220000000001| speaker:SPEAKER_02| text: What was the amount you gave us?
start:1645.461| end:1646.3220000000001| speaker:SPEAKER_02| text: What was the amount you gave us?
start:1646.362| end:1647.383| speaker:SPEAKER_02| text:The 350 for 6%.
start:1647.863| end:1651.566| speaker:SPEAKER_02| text:Robert, are you going to do anything here?
start:1651.606| end:1654.008| speaker:SPEAKER_02| text:Well, I'm trying to get a word in here.
start:1654.108| end:1655.71| speaker:SPEAKER_02| text:I mean, it's hard.
start:1656.15| end:1658.452| speaker:SPEAKER_02| text:I'm just saying, how can I get a piece of this?
start:1658.472| end:1659.073| speaker:SPEAKER_02| text:Make an offer.
start:1659.093| end:1659.733| speaker:SPEAKER_01| text:Do you want Robert in it?
start:1659.753| end:1660.394| speaker:SPEAKER_01| text:Make an offer.
start:1663.004| end:1664.025| speaker:SPEAKER_02| text: I'd love to be involved.
start:1664.065| end:1665.7069999999999| speaker:SPEAKER_03| text:So, we're gonna give you 450 for 6%.
start:1665.747| end:1669.55| speaker:SPEAKER_03| text:The two of us together.
start:1669.57| end:1670.692| speaker:SPEAKER_01| text:Nasty move.
start:1670.752| end:1671.672| speaker:SPEAKER_03| text:Two of us together.
start:1671.853| end:1673.594| speaker:SPEAKER_01| text:Guys, you understand all the offers, right?
start:1673.774| end:1674.856| speaker:SPEAKER_01| text:You gotta make a decision.
start:1674.876| end:1675.897| speaker:SPEAKER_01| text:Can we take him on that?
start:1675.9569999999999| end:1676.217| speaker:SPEAKER_01| text:Yes.
start:1676.257| end:1676.597| speaker:SPEAKER_01| text:You can.
start:1676.6970000000001| end:1676.898| speaker:SPEAKER_01| text:You can.
start:1685.229| end:1687.051| speaker:SPEAKER_01| text: Let's just try.
start:1688.352| end:1694.817| speaker:SPEAKER_01| text:Okay, so... Each shark offers a lot of different value in different areas.
start:1695.178| end:1700.022| speaker:SPEAKER_01| text:And where we think in the short term that we can really get the most help is with Mark and Lori.
start:1703.36| end:1714.592| speaker:SPEAKER_01| text: I want to let you know that like you mean so much to me but but for the company I think that's what they want to do four hundred fifty thousand six percent you guys got a deal
start:1719.683| end:1721.285| speaker:SPEAKER_00| text: Oh, I've had it now.
start:1721.545| end:1721.945| speaker:SPEAKER_00| text:Wow.
start:1721.985| end:1725.668| speaker:SPEAKER_01| text:Congratulations.
start:1725.688| end:1726.669| speaker:SPEAKER_01| text:Thank you.
start:1725.688| end:1726.669| speaker:SPEAKER_01| text:Thank you.
start:1727.87| end:1729.151| speaker:SPEAKER_01| text:You guys are great.
start:1729.211| end:1731.733| speaker:SPEAKER_01| text:Thank you so much.
start:1731.833| end:1732.433| speaker:SPEAKER_00| text:Oh, my God.
start:1732.473| end:1734.175| speaker:SPEAKER_01| text:You guys are as sharky as we are.
start:1734.335| end:1736.236| speaker:SPEAKER_00| text:Oh, they're very sharky.
start:1736.257| end:1737.357| speaker:SPEAKER_00| text:Good job, you guys.
start:1738.118| end:1738.919| speaker:SPEAKER_00| text:Are we skipping?
start:1738.959| end:1739.659| speaker:SPEAKER_00| text:Sure, yeah.
start:1739.679| end:1740.14| speaker:SPEAKER_00| text:Good job.
start:1741.505| end:1743.327| speaker:SPEAKER_01| text: Mark and Laurie were our target sharks.
start:1743.607| end:1745.93| speaker:SPEAKER_00| text:We did not prepare for that scenario at all.
start:1745.95| end:1747.992| speaker:SPEAKER_00| text:And we're just glad it worked out.
start:1748.012| end:1754.378| speaker:SPEAKER_00| text:It was definitely a risky move to try to break up Barbara and Mark and get Laurie in there instead.
start:1754.758| end:1756.12| speaker:SPEAKER_00| text:And we're glad that it worked out.
start:1756.48| end:1758.022| speaker:SPEAKER_00| text: Mark, I brought you into the deal.
start:1758.042| end:1759.283| speaker:SPEAKER_00| text:You didn't even want the deal.
start:1759.424| end:1760.565| speaker:SPEAKER_00| text:I was pushing you for the deal.
start:1760.585| end:1761.866| speaker:SPEAKER_00| text:You were my partner.
start:1762.087| end:1765.471| speaker:SPEAKER_00| text:I never for a moment thought you would throw me under the bus and go with Lori.
start:1765.611| end:1767.213| speaker:SPEAKER_00| text:I really feel like the scorned woman.
start:1767.7930000000001| end:1768.274| speaker:SPEAKER_01| text:Robert knew.
start:1768.314| end:1769.495| speaker:SPEAKER_01| text:Barbara, that's the difference.
start:1769.996| end:1771.758| speaker:SPEAKER_01| text:I knew Lori would throw me under the bus.
